output,parameter,S1,S1_conf,ST,ST_conf
d_recovery,q,sigma,0.35696,0.07987
d_recovery,q,entry_threshold,0.42472,0.0913
d_recovery,log10_mu,beta_trade_off,-0.00145,0.04171
d_recovery,log10_mu,h_mean,0.06465,0.05456
d_recovery,log10_mu,r_mean,0.04763,0.04343
d_recovery,log10_mu,C_diag_mean,0.10338,0.05112
d_recovery,log10_mu,C_offdiag_mean,0.1018,0.05402
d_recovery,log10_mu,s,0.16687,0.06515
d_recovery,log10_mu,c,0.15687,0.05934
d_recovery,log10_mu,c_prime,0.22149,0.0706
d_recovery,log10_mu,gamma,0.21175,0.07178
d_recovery,log10_mu,kappa,0.27199,0.08353
d_recovery,log10_mu,sigma,0.29316,0.07879
d_recovery,log10_mu,entry_threshold,0.35127,0.08657
d_recovery,beta_trade_off,h_mean,0.02579,0.04453
d_recovery,beta_trade_off,r_mean,0.05235,0.04049
d_recovery,beta_trade_off,C_diag_mean,0.12382,0.05076
d_recovery,beta_trade_off,C_offdiag_mean,0.1151,0.05272
d_recovery,beta_trade_off,s,0.16682,0.05849
d_recovery,beta_trade_off,c,0.16266,0.05341
d_recovery,beta_trade_off,c_prime,0.21123,0.06117
d_recovery,beta_trade_off,gamma,0.22387,0.06431
d_recovery,beta_trade_off,kappa,0.26234,0.07495
d_recovery,beta_trade_off,sigma,0.30523,0.06948
d_recovery,beta_trade_off,entry_threshold,0.2968,0.07658
d_recovery,h_mean,r_mean,0.00315,0.04209
d_recovery,h_mean,C_diag_mean,0.06019,0.05168
d_recovery,h_mean,C_offdiag_mean,0.06525,0.05011
d_recovery,h_mean,s,0.10718,0.05872
d_recovery,h_mean,c,0.12215,0.05712
d_recovery,h_mean,c_prime,0.18455,0.06658
d_recovery,h_mean,gamma,0.15615,0.06445
d_recovery,h_mean,kappa,0.20092,0.07871
d_recovery,h_mean,sigma,0.2253,0.06985
d_recovery,h_mean,entry_threshold,0.2582,0.07869
d_recovery,r_mean,C_diag_mean,0.03571,0.05114
d_recovery,r_mean,C_offdiag_mean,0.07229,0.05652
d_recovery,r_mean,s,0.11063,0.06244
d_recovery,r_mean,c,0.12772,0.06078
d_recovery,r_mean,c_prime,0.17767,0.06768
d_recovery,r_mean,gamma,0.14903,0.06252
d_recovery,r_mean,kappa,0.18538,0.07435
d_recovery,r_mean,sigma,0.21053,0.06801
d_recovery,r_mean,entry_threshold,0.25719,0.07931
d_recovery,C_diag_mean,C_offdiag_mean,-0.03109,0.04187
d_recovery,C_diag_mean,s,0.01779,0.05371
d_recovery,C_diag_mean,c,0.02829,0.049
d_recovery,C_diag_mean,c_prime,0.05922,0.05998
d_recovery,C_diag_mean,gamma,0.05837,0.05991
d_recovery,C_diag_mean,kappa,0.11351,0.07119
d_recovery,C_diag_mean,sigma,0.10437,0.06297
d_recovery,C_diag_mean,entry_threshold,0.12445,0.0721
d_recovery,C_offdiag_mean,s,0.01431,0.05031
d_recovery,C_offdiag_mean,c,0.05254,0.05124
d_recovery,C_offdiag_mean,c_prime,0.09665,0.06009
d_recovery,C_offdiag_mean,gamma,0.08479,0.06175
d_recovery,C_offdiag_mean,kappa,0.12569,0.06957
d_recovery,C_offdiag_mean,sigma,0.12526,0.06289
d_recovery,C_offdiag_mean,entry_threshold,0.1674,0.06773
d_recovery,s,c,-0.01508,0.0454
d_recovery,s,c_prime,0.02189,0.05179
d_recovery,s,gamma,0.02203,0.05537
d_recovery,s,kappa,0.05117,0.06014
d_recovery,s,sigma,0.053,0.05515
d_recovery,s,entry_threshold,0.11079,0.05632
d_recovery,c,c_prime,-0.00283,0.04814
d_recovery,c,gamma,0.02061,0.04617
d_recovery,c,kappa,0.04996,0.05134
d_recovery,c,sigma,0.05876,0.05059
d_recovery,c,entry_threshold,0.1141,0.05114
d_recovery,c_prime,gamma,-0.05612,0.04746
d_recovery,c_prime,kappa,-0.03234,0.05215
d_recovery,c_prime,sigma,-0.01663,0.04907
d_recovery,c_prime,entry_threshold,0.03511,0.04994
d_recovery,gamma,kappa,-0.03261,0.05039
d_recovery,gamma,sigma,0.00705,0.04736
d_recovery,gamma,entry_threshold,0.04984,0.04756
d_recovery,kappa,sigma,-0.1008,0.04925
d_recovery,kappa,entry_threshold,-0.03615,0.05672
d_recovery,sigma,entry_threshold,-0.03995,0.05595
hysteresis_width,nu,G,0.03775,0.02923
hysteresis_width,nu,q,0.05926,0.0416
hysteresis_width,nu,log10_mu,0.10931,0.10233
hysteresis_width,nu,beta_trade_off,0.0915,0.12002
hysteresis_width,nu,h_mean,0.11039,0.11109
hysteresis_width,nu,r_mean,0.17362,0.14121
hysteresis_width,nu,C_diag_mean,0.18516,0.13591
hysteresis_width,nu,C_offdiag_mean,0.08373,0.04985
hysteresis_width,nu,s,0.21235,0.13427
hysteresis_width,nu,c,0.18448,0.1012
hysteresis_width,nu,c_prime,0.18078,0.10987
hysteresis_width,nu,gamma,0.25958,0.14296
hysteresis_width,nu,kappa,0.36321,0.16959
hysteresis_width,nu,sigma,0.33942,0.16901
hysteresis_width,nu,entry_threshold,0.43618,0.22307
hysteresis_width,G,q,0.01434,0.0166
hysteresis_width,G,log10_mu,0.06963,0.09575
hysteresis_width,G,beta_trade_off,0.07954,0.11948
hysteresis_width,G,h_mean,0.11323,0.11905
hysteresis_width,G,r_mean,0.11874,0.10236
hysteresis_width,G,C_diag_mean,0.13752,0.10469
hysteresis_width,G,C_offdiag_mean,0.07657,0.04579
hysteresis_width,G,s,0.12444,0.06128
hysteresis_width,G,c,0.13339,0.07052
hysteresis_width,G,c_prime,0.19403,0.13396
hysteresis_width,G,gamma,0.19669,0.1289
hysteresis_width,G,kappa,0.2453,0.13038
hysteresis_width,G,sigma,0.22084,0.11383
hysteresis_width,G,entry_threshold,0.33582,0.17516
hysteresis_width,q,log10_mu,0.04023,0.04561
hysteresis_width,q,beta_trade_off,0.05562,0.059
hysteresis_width,q,h_mean,0.09172,0.08371
hysteresis_width,q,r_mean,0.17071,0.15935
hysteresis_width,q,C_diag_mean,0.17807,0.15828
hysteresis_width,q,C_offdiag_mean,0.10775,0.06125
hysteresis_width,q,s,0.13891,0.08201
hysteresis_width,q,c,0.136,0.0676
hysteresis_width,q,c_prime,0.20542,0.153
hysteresis_width,q,gamma,0.22999,0.14592
hysteresis_width,q,kappa,0.26732,0.17303
hysteresis_width,q,sigma,0.21031,0.1522
hysteresis_width,q,entry_threshold,0.39422,0.2485
hysteresis_width,log10_mu,beta_trade_off,-0.00131,0.01855
hysteresis_width,log10_mu,h_mean,0.02468,0.03199
hysteresis_width,log10_mu,r_mean,0.04236,0.04623
hysteresis_width,log10_mu,C_diag_mean,0.05764,0.04686
hysteresis_width,log10_mu,C_offdiag_mean,0.04304,0.03517
hysteresis_width,log10_mu,s,0.1047,0.05991
hysteresis_width,log10_mu,c,0.08356,0.04334
hysteresis_width,log10_mu,c_prime,0.11472,0.08515
hysteresis_width,log10_mu,gamma,0.12283,0.08259
hysteresis_width,log10_mu,kappa,0.17176,0.11591
hysteresis_width,log10_mu,sigma,0.11818,0.07238
hysteresis_width,log10_mu,entry_threshold,0.22763,0.15158
hysteresis_width,beta_trade_off,h_mean,0.0426,0.07001
hysteresis_width,beta_trade_off,r_mean,0.10486,0.13486
hysteresis_width,beta_trade_off,C_diag_mean,0.1308,0.14596
hysteresis_width,beta_trade_off,C_offdiag_mean,0.05469,0.04722
hysteresis_width,beta_trade_off,s,0.09157,0.07826
hysteresis_width,beta_trade_off,c,0.07859,0.0442
hysteresis_width,beta_trade_off,c_prime,0.13252,0.12362
hysteresis_width,beta_trade_off,gamma,0.1552,0.11689
hysteresis_width,beta_trade_off,kappa,0.1945,0.14701
hysteresis_width,beta_trade_off,sigma,0.14692,0.13196
hysteresis_width,beta_trade_off,entry_threshold,0.31798,0.2274
hysteresis_width,h_mean,r_mean,0.01306,0.02042
hysteresis_width,h_mean,C_diag_mean,0.01559,0.02331
hysteresis_width,h_mean,C_offdiag_mean,0.02475,0.02087
