output,parameter,S1,S1_conf,ST,ST_conf
hysteresis_width,G,c,-0.65598,1.0001
hysteresis_width,G,c_prime,-0.65598,1.0001
hysteresis_width,G,gamma,-0.66409,1.01265
hysteresis_width,G,kappa,-0.54246,0.82449
hysteresis_width,G,sigma,-0.55868,0.81496
hysteresis_width,q,mu,-0.05105,0.17358
hysteresis_width,q,beta_trade_off,0.17801,0.31949
hysteresis_width,q,h_mean,0.31789,0.76615
hysteresis_width,q,r_mean,-0.09565,0.26455
hysteresis_width,q,C_diag_mean,-0.07943,0.18092
hysteresis_width,q,s,0.0726,0.20451
hysteresis_width,q,c,-0.10173,0.17531
hysteresis_width,q,c_prime,-0.03281,0.23916
hysteresis_width,q,gamma,-0.0247,0.253
hysteresis_width,q,kappa,0.00976,0.18088
hysteresis_width,q,sigma,0.72939,1.25647
hysteresis_width,mu,beta_trade_off,-0.0594,0.13364
hysteresis_width,mu,h_mean,-0.06751,0.11701
hysteresis_width,mu,r_mean,-0.00264,0.042
hysteresis_width,mu,C_diag_mean,0.00142,0.04386
hysteresis_width,mu,s,-0.00061,0.04181
hysteresis_width,mu,c,-0.00264,0.042
hysteresis_width,mu,c_prime,-0.00264,0.042
hysteresis_width,mu,gamma,-0.00061,0.04181
hysteresis_width,mu,kappa,-0.00061,0.04181
hysteresis_width,mu,sigma,-0.02291,0.07544
hysteresis_width,beta_trade_off,h_mean,-0.42353,0.46348
hysteresis_width,beta_trade_off,r_mean,-0.41948,0.49502
hysteresis_width,beta_trade_off,C_diag_mean,-0.33231,0.38114
hysteresis_width,beta_trade_off,s,-0.10325,0.32585
hysteresis_width,beta_trade_off,c,-0.33434,0.38351
hysteresis_width,beta_trade_off,c_prime,-0.33231,0.38397
hysteresis_width,beta_trade_off,gamma,-0.34447,0.40166
hysteresis_width,beta_trade_off,kappa,-0.09716,0.32436
hysteresis_width,beta_trade_off,sigma,-0.12352,0.32405
hysteresis_width,h_mean,r_mean,-0.52654,0.79049
hysteresis_width,h_mean,C_diag_mean,-0.5833,0.80621
hysteresis_width,h_mean,s,-0.62587,0.89213
hysteresis_width,h_mean,c,-0.56709,0.8148
hysteresis_width,h_mean,c_prime,-0.56911,0.81555
hysteresis_width,h_mean,gamma,-0.55898,0.81036
hysteresis_width,h_mean,kappa,-0.62384,0.89467
hysteresis_width,h_mean,sigma,-0.65222,0.8731
hysteresis_width,r_mean,C_diag_mean,-0.81994,1.25216
hysteresis_width,r_mean,s,-0.66791,1.04208
hysteresis_width,r_mean,c,-0.82603,1.24816
hysteresis_width,r_mean,c_prime,-0.81589,1.25036
hysteresis_width,r_mean,gamma,-0.81792,1.27391
hysteresis_width,r_mean,kappa,-0.67602,1.03371
hysteresis_width,r_mean,sigma,-0.70034,1.02267
hysteresis_width,C_diag_mean,s,-0.49751,0.73632
hysteresis_width,C_diag_mean,c,-0.47521,0.69011
hysteresis_width,C_diag_mean,c_prime,-0.47521,0.69011
hysteresis_width,C_diag_mean,gamma,-0.46711,0.68947
hysteresis_width,C_diag_mean,kappa,-0.49751,0.73632
hysteresis_width,C_diag_mean,sigma,-0.48332,0.74751
hysteresis_width,s,c,-0.14891,0.22547
hysteresis_width,s,c_prime,-0.14891,0.22547
hysteresis_width,s,gamma,-0.1712,0.2333
hysteresis_width,s,kappa,-0.01917,0.10056
hysteresis_width,s,sigma,-0.02322,0.12218
hysteresis_width,c,c_prime,-0.53461,0.7643
hysteresis_width,c,gamma,-0.53664,0.76743
hysteresis_width,c,kappa,-0.50623,0.72046
hysteresis_width,c,sigma,-0.53258,0.70531
hysteresis_width,c_prime,gamma,-0.45315,0.69109
hysteresis_width,c_prime,kappa,-0.48356,0.73813
hysteresis_width,c_prime,sigma,-0.51194,0.7214
hysteresis_width,gamma,kappa,-0.51452,0.76132
hysteresis_width,gamma,sigma,-0.51046,0.76635
hysteresis_width,kappa,sigma,-0.02433,0.07699
